country,age,sex,MDS_x,MDS_y,tsne_x,tsne_y,scluster9,kmeans6
Kyrgyzstan,55-74 years,male,4.239139198675529,-5.810088110807936,-41.50864,7.1893296,8,3
Kyrgyzstan,75+ years,female,-0.6948747989422647,-5.775424539527041,-40.706146,-27.381266,8,1
Kyrgyzstan,75+ years,male,3.3886821295954515,-5.956656867929042,-43.15766,6.606128,8,3
Luxembourg,15-24 years,female,-2.8934966694954993,13.019011872517998,-71.55761,23.20724,5,5
Luxembourg,15-24 years,male,-0.0014551091599103237,13.166899126648106,-72.77433,20.45064,5,5
Luxembourg,25-34 years,female,-2.359676606575651,13.069389125035304,-70.809875,22.834476,5,5
Luxembourg,25-34 years,male,0.7848844609317859,13.174662202640137,-72.41849,18.68416,5,5
Luxembourg,35-54 years,female,-1.4174340396405287,13.070245130186866,-72.07139,21.581223,5,5
Luxembourg,35-54 years,male,3.2777775804146376,13.16714180035457,-73.14327,16.884314,5,5
Luxembourg,5-14 years,female,-3.5823707490737413,12.989986795306027,-71.46818,24.134932,5,5
Luxembourg,5-14 years,male,-3.6372106044850034,12.981455247725721,-70.92009,24.053757,5,5
Luxembourg,55-74 years,female,-0.4008889945932963,13.143830693995316,-71.81768,19.638517,5,5
Luxembourg,55-74 years,male,4.440537389765732,13.427625741764663,-73.41716,16.188213,5,5
Luxembourg,75+ years,female,-0.5777112471897181,13.168126445645909,-71.29429,19.501259,5,5
Luxembourg,75+ years,male,11.70560065516067,13.842950292052025,-73.785995,15.086706,3,4
Malta,15-24 years,female,-3.1330514315144935,-1.9263969281884914,-48.071033,46.44447,8,1
Malta,15-24 years,male,-1.627292046524484,-1.8872151407757853,-21.068348,28.727402,8,1
Malta,25-34 years,female,-2.7814858825052817,-1.9091769665139615,-49.67254,45.80864,8,1
Malta,25-34 years,male,0.026013056370176986,-1.9135499821847608,-17.170933,24.50119,8,1
Malta,35-54 years,female,-2.6823165181623616,-1.91891601587641,-49.647606,47.799488,8,1
Malta,35-54 years,male,0.8333708069794651,-1.885615316565024,-12.042882,23.883343,8,3
Malta,5-14 years,female,-3.4305811446040457,-1.933764105704409,-47.41914,45.527065,8,1
Malta,5-14 years,male,-3.4484785130016973,-1.934039014074619,-47.236305,44.940617,8,1
Malta,55-74 years,female,-2.82687792346586,-1.9230014187086504,-49.27242,47.436638,8,1
Malta,55-74 years,male,-0.42617601798294596,-1.8929475005703498,-16.239397,24.985413,8,1
Malta,75+ years,female,-3.0406860154365853,-1.9228329609223362,-47.749325,48.211414,8,1
Malta,75+ years,male,-4.1730038524322115,-1.4526021919146086,-11.41365,24.991796,8,3
Mauritius,15-24 years,female,-1.0846123990657324,-4.28542165265905,-36.919403,-25.982086,8,1
Mauritius,15-24 years,male,0.9692445858292046,-4.30790858920708,-43.360783,-3.184722,8,3
Mauritius,25-34 years,female,-1.4189432824620754,-4.308410461487076,-36.592358,-27.110085,8,1
Mauritius,25-34 years,male,3.7536822750563945,-4.264024634965756,-39.400047,4.571168,8,3
Mauritius,35-54 years,female,-2.269182596777462,-4.276103282107041,-8.002789,-50.817062,8,1
Mauritius,35-54 years,male,3.0087078577734037,-4.2771123594626115,-39.417553,4.3089633,8,3
Mauritius,5-14 years,female,-3.239099108082437,-4.263140128770374,1.8894321,-49.44564,8,1
Mauritius,5-14 years,male,-3.4010385377790855,-4.272961243169679,2.4088912,-49.168663,8,1
Mauritius,55-74 years,female,-2.407408869865497,-4.277484059726554,-7.2570467,-49.92748,8,1
Mauritius,55-74 years,male,1.277760792270079,-4.357075162382354,-38.681225,-2.199538,8,3
Mauritius,75+ years,female,-2.673657124116104,-4.335240503447121,-5.955854,-48.754738,8,1
Mauritius,75+ years,male,2.1109747316506033,-5.159782041387732,-41.015617,-3.565071,8,3
Mexico,15-24 years,female,-2.7300015287527852,-3.7194593504404456,21.470778,-44.697548,8,1
Mexico,15-24 years,male,-0.8870742239027342,-3.6770707246268755,-28.488226,-12.768836,8,1
Mexico,25-34 years,female,-3.0520983239063075,-3.7224404511805615,20.813654,-45.531868,8,1
Mexico,25-34 years,male,-0.7337694193587314,-3.6757595369222456,-28.750788,-12.064437,8,1
Mexico,35-54 years,female,-3.1236810372984305,-3.7270428271011777,20.594755,-46.212334,8,1
Mexico,35-54 years,male,-1.0479354930183236,-3.6814729810696507,-27.741243,-12.571992,8,1
Mexico,5-14 years,female,-3.403514583150663,-3.7381577862461635,19.426743,-47.854958,8,1
Mexico,5-14 years,male,-3.3154816714805153,-3.737502454537513,20.018705,-47.317936,8,1
Mexico,55-74 years,female,-3.231714794966936,-3.733545043139344,19.640184,-46.42028,8,1
Mexico,55-74 years,male,-1.0211055349486555,-3.682890440571324,-27.82245,-11.879356,8,1
Mexico,75+ years,female,-3.356296810000165,-3.7391146831133533,18.87309,-47.165165,8,1
Mexico,75+ years,male,0.468250507772223,-3.6873160751888445,-35.933594,-9.608641,8,3
Netherlands,15-24 years,female,-2.6751159997506093,3.7019456360320695,18.261555,2.2591314,6,0
Netherlands,15-24 years,male,-1.255448128504861,3.7120056756336663,22.853237,7.995509,6,0
Netherlands,25-34 years,female,-2.0947343396711045,3.70351720818649,18.41071,2.6397922,6,0
Netherlands,25-34 years,male,0.23133528872284165,3.7295623389672,25.556581,19.131012,6,0
Netherlands,35-54 years,female,-1.1476233824046365,3.713372445180809,22.70798,8.715049,6,0
Netherlands,35-54 years,male,1.8637313543959662,3.778120973726696,36.751793,23.037825,6,0
Netherlands,5-14 years,female,-3.5705913598029912,3.678602440511067,18.685143,-9.917951,6,0
Netherlands,5-14 years,male,-3.5037473710246227,3.6807797989331457,18.694906,-9.869757,6,0
Netherlands,55-74 years,female,-1.0538258221465098,3.721305458182549,23.319336,8.6626,6,0
Netherlands,55-74 years,male,1.2054376006105751,3.78827658808544,36.86227,23.215317,6,0
Netherlands,75+ years,female,-1.3393760364745342,3.712621993590625,21.997581,7.974713,6,0
Netherlands,75+ years,male,3.205402059915978,3.7195580016762473,45.473896,22.90113,6,4
Norway,15-24 years,female,-2.03871518924629,9.476323110441381,-75.43835,-1.9960614,0,5
Norway,15-24 years,male,1.3854679575198934,9.58208568820473,-75.00066,7.8765073,7,5
Norway,25-34 years,female,-1.7048064191924306,9.488230700343744,-74.61621,-1.5460294,0,5
Norway,25-34 years,male,2.0395781938275572,9.563094909621631,-75.650055,8.392591,7,5
Norway,35-54 years,female,-1.1493789743403808,9.49699255604694,-74.76092,-0.597915,0,5
